avg_mse, mse, time(s)
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012111548227169573, 0, 167.7219
0.058529074609781864, 0.00000000015978906437590202, 133.4805
0, 0, 171.0887
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009778844, 0, 143.6649
0, 0, 157.1268
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005236760383950059, 0, 166.0419
0, 0, 184.6921
0, 0, 230.9211
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000018716053695391973, 0, 161.9508
0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015848851989435602, 0, 176.7540
0, 0, 73.7605
0.370873747839516, 0.0005256573786323417, 191.4629
0, 0, 382.4753
35.494548134913785, 0.00012088176997442035, 403.0625
0, 0, 326.9204
1600.7518496912248, 1533.9860757102124, 125.2438
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021450939286272766, 0, 221.3809
1804.5861588767839, 1536.801550064542, 3209.7261
