avg_mse, mse, time(s)
0, 0, 276.5381
0.024270129981333707, 0.0000000000008750732651928019, 264.1998
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000027118520875602856, 0, 415.7324
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016403682740837751, 0, 466.6561
0.0000000000000000000000000000000000000000000000000000000000000000000000000000001612303500582873, 0, 309.1796
0, 0, 805.3478
0, 0, 430.5720
0, 0, 493.1760
0, 0, 414.6762
0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008290011385894564, 0, 2169.4831
0, 0, 371.5631
0.3690704936923911, 0.013947466759629318, 534.9850
0, 0, 1492.2729
0.00000000000000000000000000000019721522630525295, 0.00000000000000000000000000000019721522630525295, 1794.6778
0, 0, 582.2782
606.802056768517, 69.31020707795935, 390.1610
0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003323774010474257, 0, 1157.4454
1710.851898159173, 641.7729110724194, 10986.6640
