min, mean, std, time(s)
0, 0, 0, 12261.3080
-1.025969889077261, -0.5139043203801312, 0.38473926565954325, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0.010059769781550543, 0.4776810316563396, 0.2301621389632193, 12261.3080
0, 0, 0, 12261.3080
0.0000000000000004440892098500626, 0.0000000000000004440892098500626, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
0, 0, 0, 12261.3080
